a ㄚ
daoqqqqq ㄉㄠ˙
de ㄉㄜ
deq ㄉㄜˉ
deqq ㄉㄜˊ
deqqq ㄉㄜˇ
deqqqq ㄉㄜˋ
deqqqqq ㄉㄜ˙
dei ㄉㄟ
deiq ㄉㄟˉ
deiqq ㄉㄟˊ
deiqqq ㄉㄟˇ
deiqqqq ㄉㄟˋ
deiqqqqq ㄉㄟ˙
den ㄉㄣ
denq ㄉㄣˉ
denqq ㄉㄣˊ
denqqq ㄉㄣˇ
denqqqq ㄉㄣˋ
denqqqqq ㄉㄣ˙
deng ㄉㄥ
dengq ㄉㄥˉ
dengqq ㄉㄥˊ
dengqqq ㄉㄥˇ
dengqqqq ㄉㄥˋ
dengqqqqq ㄉㄥ˙
der ㄉㄦ
derq ㄉㄦˉ
derqq ㄉㄦˊ
derqqq ㄉㄦˇ
derqqqq ㄉㄦˋ
derqqqqq ㄉㄦ˙
di ㄉㄧ
diq ㄉㄧˉ
diqq ㄉㄧˊ
diqqq ㄉㄧˇ
diqqqq ㄉㄧˋ
diqqqqq ㄉㄧ˙
dia ㄉㄧㄚ
diaq ㄉㄧㄚˉ
diaqq ㄉㄧㄚˊ
diaqqq ㄉㄧㄚˇ
diaqqqq ㄉㄧㄚˋ
diaqqqqq ㄉㄧㄚ˙
dian ㄉㄧㄢ
dianq ㄉㄧㄢˉ
dianqq ㄉㄧㄢˊ
dianqqq ㄉㄧㄢˇ
dianqqqq ㄉㄧㄢˋ
dianqqqqq ㄉㄧㄢ˙
diang ㄉㄧㄤ
diangq ㄉㄧㄤˉ
diangqq ㄉㄧㄤˊ
diangqqq ㄉㄧㄤˇ
diangqqqq ㄉㄧㄤˋ
diangqqqqq ㄉㄧㄤ˙
diao ㄉㄧㄠ
diaoq ㄉㄧㄠˉ
diaoqq ㄉㄧㄠˊ
diaoqqq ㄉㄧㄠˇ
diaoqqqq ㄉㄧㄠˋ
diaoqqqqq ㄉㄧㄠ˙
die ㄉㄧㄝ
dieq ㄉㄧㄝˉ
dieqq ㄉㄧㄝˊ
dieqqq ㄉㄧㄝˇ
dieqqqq ㄉㄧㄝˋ
dieqqqqq ㄉㄧㄝ˙
din ㄉㄧㄣ
dinq ㄉㄧㄣˉ
dinqq ㄉㄧㄣˊ
dinqqq ㄉㄧㄣˇ
dinqqqq ㄉㄧㄣˋ
dinqqqqq ㄉㄧㄣ˙
ding ㄉㄧㄥ
dingq ㄉㄧㄥˉ
dingqq ㄉㄧㄥˊ
dingqqq ㄉㄧㄥˇ
dingqqqq ㄉㄧㄥˋ
dingqqqqq ㄉㄧㄥ˙
diong ㄉㄩㄥ
diongq ㄉㄩㄥˉ
diongqq ㄉㄩㄥˊ
diongqqq ㄉㄩㄥˇ
diongqqqq ㄉㄩㄥˋ
diongqqqqq ㄉㄩㄥ˙
diou ㄉㄧㄡ
diouq ㄉㄧㄡˉ
diouqq ㄉㄧㄡˊ
diouqqq ㄉㄧㄡˇ
diouqqqq ㄉㄧㄡˋ
diouqqqqq ㄉㄧㄡ˙
diu ㄉㄧㄡ
diuq ㄉㄧㄡˉ
diuqq ㄉㄧㄡˊ
diuqqq ㄉㄧㄡˇ
diuqqqq ㄉㄧㄡˋ
diuqqqqq ㄉㄧㄡ˙
diung ㄉㄩㄥ
diungq ㄉㄩㄥˉ
diungqq ㄉㄩㄥˊ
diungqqq ㄉㄩㄥˇ
diungqqqq ㄉㄩㄥˋ
diungqqqqq ㄉㄩㄥ˙
do ㄉㄛ
doq ㄉㄛˉ
doqq ㄉㄛˊ
doqqq ㄉㄛˇ
doqqqq ㄉㄛˋ
doqqqqq ㄉㄛ˙
dong ㄉㄨㄥ
dongq ㄉㄨㄥˉ
dongqq ㄉㄨㄥˊ
dongqqq ㄉㄨㄥˇ
dongqqqq ㄉㄨㄥˋ
dongqqqqq ㄉㄨㄥ˙
dou ㄉㄡ
douq ㄉㄡˉ
douqq ㄉㄡˊ
douqqq ㄉㄡˇ
douqqqq ㄉㄡˋ
douqqqqq ㄉㄡ˙
du ㄉㄨ
duq ㄉㄨˉ
duqq ㄉㄨˊ
duqqq ㄉㄨˇ
duqqqq ㄉㄨˋ
duqqqqq ㄉㄨ˙
dua ㄉㄨㄚ
duaq ㄉㄨㄚˉ
duaqq ㄉㄨㄚˊ
duaqqq ㄉㄨㄚˇ
duaqqqq ㄉㄨㄚˋ
duaqqqqq ㄉㄨㄚ˙
duai ㄉㄨㄞ
duaiq ㄉㄨㄞˉ
duaiqq ㄉㄨㄞˊ
duaiqqq ㄉㄨㄞˇ
duaiqqqq ㄉㄨㄞˋ
duaiqqqqq ㄉㄨㄞ˙
duan ㄉㄨㄢ
duanq ㄉㄨㄢˉ
duanqq ㄉㄨㄢˊ
duanqqq ㄉㄨㄢˇ
duanqqqq ㄉㄨㄢˋ
duanqqqqq ㄉㄨㄢ˙
duang ㄉㄨㄤ
duangq ㄉㄨㄤˉ
duangqq ㄉㄨㄤˊ
duangqqq ㄉㄨㄤˇ
duangqqqq ㄉㄨㄤˋ
duangqqqqq ㄉㄨㄤ˙
dui ㄉㄨㄟ
duiq ㄉㄨㄟˉ
duiqq ㄉㄨㄟˊ
duiqqq ㄉㄨㄟˇ
duiqqqq ㄉㄨㄟˋ
duiqqqqq ㄉㄨㄟ˙
dun ㄉㄨㄣ
dunq ㄉㄨㄣˉ
dunqq ㄉㄨㄣˊ
dunqqq ㄉㄨㄣˇ
dunqqqq ㄉㄨㄣˋ
dunqqqqq ㄉㄨㄣ˙
dung ㄉㄨㄥ
dungq ㄉㄨㄥˉ
dungqq ㄉㄨㄥˊ
dungqqq ㄉㄨㄥˇ
dungqqqq ㄉㄨㄥˋ
dungqqqqq ㄉㄨㄥ˙
duo ㄉㄨㄛ
duoq ㄉㄨㄛˉ
duoqq ㄉㄨㄛˊ
duoqqq ㄉㄨㄛˇ
duoqqqq ㄉㄨㄛˋ
duoqqqqq ㄉㄨㄛ˙
dv ㄉㄩ
dvq ㄉㄩˉ
dvqq ㄉㄩˊ
dvqqq ㄉㄩˇ
dvqqqq ㄉㄩˋ
dvqqqqq ㄉㄩ˙
dve ㄉㄩㄝ
dveq ㄉㄩㄝˉ
dveqq ㄉㄩㄝˊ
dveqqq ㄉㄩㄝˇ
dveqqqq ㄉㄩㄝˋ
dveqqqqq ㄉㄩㄝ˙
dvn ㄉㄩㄣ
dvnq ㄉㄩㄣˉ
dvnqq ㄉㄩㄣˊ
dvnqqq ㄉㄩㄣˇ
dvnqqqq ㄉㄩㄣˋ
dvnqqqqq ㄉㄩㄣ˙
dvng ㄉㄩㄥ
dvngq ㄉㄩㄥˉ
dvngqq ㄉㄩㄥˊ
dvngqqq ㄉㄩㄥˇ
dvngqqqq ㄉㄩㄥˋ
dvngqqqqq ㄉㄩㄥ˙
dyu ㄉㄩ
dyuq ㄉㄩˉ
dyuqq ㄉㄩˊ
dyuqqq ㄉㄩˇ
dyuqqqq ㄉㄩˋ
dyuqqqqq ㄉㄩ˙
dyue ㄉㄩㄝ
dyueq ㄉㄩㄝˉ
dyueqq ㄉㄩㄝˊ
dyueqqq ㄉㄩㄝˇ
dyueqqqq ㄉㄩㄝˋ
dyueqqqqq ㄉㄩㄝ˙
dyun ㄉㄩㄣ
dyunq ㄉㄩㄣˉ
dyunqq ㄉㄩㄣˊ
dyunqqq ㄉㄩㄣˇ
dyunqqqq ㄉㄩㄣˋ
dyunqqqqq ㄉㄩㄣ˙
dyung ㄉㄩㄥ
dyungq ㄉㄩㄥˉ
dyungqq ㄉㄩㄥˊ
dyungqqq ㄉㄩㄥˇ
dyungqqqq ㄉㄩㄥˋ
dyungqqqqq ㄉㄩㄥ˙
e ㄜ
eq ㄜˉ
eqq ㄜˊ
eqqq ㄜˇ
eqqqq ㄜˋ
eqqqqq ㄜ˙
ei ㄟ
eiq ㄟˉ
eiqq ㄟˊ
eiqqq ㄟˇ
eiqqqq ㄟˋ
eiqqqqq ㄟ˙
en ㄣ
enq ㄣˉ
enqq ㄣˊ
enqqq ㄣˇ
enqqqq ㄣˋ
enqqqqq ㄣ˙
eng ㄥ
engq ㄥˉ
engqq ㄥˊ
engqqq ㄥˇ
engqqqq ㄥˋ
engqqqqq ㄥ˙
er ㄦ
erq ㄦˉ
erqq ㄦˊ
erqqq ㄦˇ
erqqqq ㄦˋ
erqqqqq ㄦ˙
fa ㄈㄚ
faq ㄈㄚˉ
faqq ㄈㄚˊ
faqqq ㄈㄚˇ
faqqqq ㄈㄚˋ
faqqqqq ㄈㄚ˙
fai ㄈㄞ
faiq ㄈㄞˉ
faiqq ㄈㄞˊ
faiqqq ㄈㄞˇ
faiqqqq ㄈㄞˋ
faiqqqqq ㄈㄞ˙
fan ㄈㄢ
fanq ㄈㄢˉ
fanqq ㄈㄢˊ
fanqqq ㄈㄢˇ
fanqqqq ㄈㄢˋ
fanqqqqq ㄈㄢ˙
fang ㄈㄤ
fangq ㄈㄤˉ
fangqq ㄈㄤˊ
fangqqq ㄈㄤˇ
fangqqqq ㄈㄤˋ
fangqqqqq ㄈㄤ˙
fao ㄈㄠ
faoq ㄈㄠˉ
faoqq ㄈㄠˊ
faoqqq ㄈㄠˇ
faoqqqq ㄈㄠˋ
faoqqqqq ㄈㄠ˙
fe ㄈㄜ
feq ㄈㄜˉ
feqq ㄈㄜˊ
feqqq ㄈㄜˇ
feqqqq ㄈㄜˋ
feqqqqq ㄈㄜ˙
fei ㄈㄟ
feiq ㄈㄟˉ
feiqq ㄈㄟˊ
feiqqq ㄈㄟˇ
feiqqqq ㄈㄟˋ
feiqqqqq ㄈㄟ˙
fen ㄈㄣ
fenq ㄈㄣˉ
fenqq ㄈㄣˊ
fenqqq ㄈㄣˇ
fenqqqq ㄈㄣˋ
fenqqqqq ㄈㄣ˙
feng ㄈㄥ
fengq ㄈㄥˉ
fengqq ㄈㄥˊ
fengqqq ㄈㄥˇ
fengqqqq ㄈㄥˋ
fengqqqqq ㄈㄥ˙
fer ㄈㄦ
ferq ㄈㄦˉ
ferqq ㄈㄦˊ
ferqqq ㄈㄦˇ
ferqqqq ㄈㄦˋ
ferqqqqq ㄈㄦ˙
fi ㄈㄧ
fiq ㄈㄧˉ
fiqq ㄈㄧˊ
fiqqq ㄈㄧˇ
fiqqqq ㄈㄧˋ
fiqqqqq ㄈㄧ˙
fia ㄈㄧㄚ
fiaq ㄈㄧㄚˉ
fiaqq ㄈㄧㄚˊ
fiaqqq ㄈㄧㄚˇ
fiaqqqq ㄈㄧㄚˋ
fiaqqqqq ㄈㄧㄚ˙
fian ㄈㄧㄢ
fianq ㄈㄧㄢˉ
fianqq ㄈㄧㄢˊ
fianqqq ㄈㄧㄢˇ
fianqqqq ㄈㄧㄢˋ
fianqqqqq ㄈㄧㄢ˙
fiang ㄈㄧㄤ
fiangq ㄈㄧㄤˉ
fiangqq ㄈㄧㄤˊ
fiangqqq ㄈㄧㄤˇ
fiangqqqq ㄈㄧㄤˋ
fiangqqqqq ㄈㄧㄤ˙
fiao ㄈㄧㄠ
fiaoq ㄈㄧㄠˉ
fiaoqq ㄈㄧㄠˊ
fiaoqqq ㄈㄧㄠˇ
fiaoqqqq ㄈㄧㄠˋ
fiaoqqqqq ㄈㄧㄠ˙
fie ㄈㄧㄝ
fieq ㄈㄧㄝˉ
fieqq ㄈㄧㄝˊ
fieqqq ㄈㄧㄝˇ
fieqqqq ㄈㄧㄝˋ
fieqqqqq ㄈㄧㄝ˙
fin ㄈㄧㄣ
finq ㄈㄧㄣˉ
finqq ㄈㄧㄣˊ
finqqq ㄈㄧㄣˇ
finqqqq ㄈㄧㄣˋ
finqqqqq ㄈㄧㄣ˙
fing ㄈㄧㄥ
fingq ㄈㄧㄥˉ
fingqq ㄈㄧㄥˊ
fingqqq ㄈㄧㄥˇ
fingqqqq ㄈㄧㄥˋ
fingqqqqq ㄈㄧㄥ˙
fiong ㄈㄩㄥ
fiongq ㄈㄩㄥˉ
fiongqq ㄈㄩㄥˊ
fiongqqq ㄈㄩㄥˇ
fiongqqqq ㄈㄩㄥˋ
fiongqqqqq ㄈㄩㄥ˙
fiou ㄈㄧㄡ
fiouq ㄈㄧㄡˉ
fiouqq ㄈㄧㄡˊ
fiouqqq ㄈㄧㄡˇ
fiouqqqq ㄈㄧㄡˋ
fiouqqqqq ㄈㄧㄡ˙
fiu ㄈㄧㄡ
fiuq ㄈㄧㄡˉ
fiuqq ㄈㄧㄡˊ
fiuqqq ㄈㄧㄡˇ
fiuqqqq ㄈㄧㄡˋ
fiuqqqqq ㄈㄧㄡ˙
fiung ㄈㄩㄥ
fiungq ㄈㄩㄥˉ
fiungqq ㄈㄩㄥˊ
fiungqqq ㄈㄩㄥˇ
fiungqqqq ㄈㄩㄥˋ
fiungqqqqq ㄈㄩㄥ˙
fo ㄈㄛ
foq ㄈㄛˉ
foqq ㄈㄛˊ
foqqq ㄈㄛˇ
foqqqq ㄈㄛˋ
foqqqqq ㄈㄛ˙
fong ㄈㄨㄥ
fongq ㄈㄨㄥˉ
fongqq ㄈㄨㄥˊ
fongqqq ㄈㄨㄥˇ
fongqqqq ㄈㄨㄥˋ
fongqqqqq ㄈㄨㄥ˙
fou ㄈㄡ
fouq ㄈㄡˉ
fouqq ㄈㄡˊ
fouqqq ㄈㄡˇ
fouqqqq ㄈㄡˋ
fouqqqqq ㄈㄡ˙
fu ㄈㄨ
fuq ㄈㄨˉ
fuqq ㄈㄨˊ
fuqqq ㄈㄨˇ
fuqqqq ㄈㄨˋ
fuqqqqq ㄈㄨ˙
fua ㄈㄨㄚ
fuaq ㄈㄨㄚˉ
fuaqq ㄈㄨㄚˊ
fuaqqq ㄈㄨㄚˇ
fuaqqqq ㄈㄨㄚˋ
fuaqqqqq ㄈㄨㄚ˙
fuai ㄈㄨㄞ
fuaiq ㄈㄨㄞˉ
fuaiqq ㄈㄨㄞˊ
fuaiqqq ㄈㄨㄞˇ
fuaiqqqq ㄈㄨㄞˋ
fuaiqqqqq ㄈㄨㄞ˙
fuan ㄈㄨㄢ
fuanq ㄈㄨㄢˉ
fuanqq ㄈㄨㄢˊ
fuanqqq ㄈㄨㄢˇ
fuanqqqq ㄈㄨㄢˋ
fuanqqqqq ㄈㄨㄢ˙
fuang ㄈㄨㄤ
fuangq ㄈㄨㄤˉ
fuangqq ㄈㄨㄤˊ
fuangqqq ㄈㄨㄤˇ
fuangqqqq ㄈㄨㄤˋ
fuangqqqqq ㄈㄨㄤ˙
fui ㄈㄨㄟ
fuiq ㄈㄨㄟˉ
fuiqq ㄈㄨㄟˊ
fuiqqq ㄈㄨㄟˇ
fuiqqqq ㄈㄨㄟˋ
fuiqqqqq ㄈㄨㄟ˙
fun ㄈㄨㄣ
funq ㄈㄨㄣˉ
funqq ㄈㄨㄣˊ
funqqq ㄈㄨㄣˇ
funqqqq ㄈㄨㄣˋ
funqqqqq ㄈㄨㄣ˙
fung ㄈㄨㄥ
fungq ㄈㄨㄥˉ
fungqq ㄈㄨㄥˊ
fungqqq ㄈㄨㄥˇ
fungqqqq ㄈㄨㄥˋ
fungqqqqq ㄈㄨㄥ˙
fuo ㄈㄨㄛ
fuoq ㄈㄨㄛˉ
fuoqq ㄈㄨㄛˊ
fuoqqq ㄈㄨㄛˇ
fuoqqqq ㄈㄨㄛˋ
fuoqqqqq ㄈㄨㄛ˙
fv ㄈㄩ
fvq ㄈㄩˉ
fvqq ㄈㄩˊ
fvqqq ㄈㄩˇ
fvqqqq ㄈㄩˋ
fvqqqqq ㄈㄩ˙
fve ㄈㄩㄝ
fveq ㄈㄩㄝˉ
fveqq ㄈㄩㄝˊ
fveqqq ㄈㄩㄝˇ
fveqqqq ㄈㄩㄝˋ
fveqqqqq ㄈㄩㄝ˙
fvn ㄈㄩㄣ
fvnq ㄈㄩㄣˉ
fvnqq ㄈㄩㄣˊ
fvnqqq ㄈㄩㄣˇ
fvnqqqq ㄈㄩㄣˋ
fvnqqqqq ㄈㄩㄣ˙
fvng ㄈㄩㄥ
fvngq ㄈㄩㄥˉ
fvngqq ㄈㄩㄥˊ
fvngqqq ㄈㄩㄥˇ
fvngqqqq ㄈㄩㄥˋ
fvngqqqqq ㄈㄩㄥ˙
fyu ㄈㄩ
fyuq ㄈㄩˉ
fyuqq ㄈㄩˊ
fyuqqq ㄈㄩˇ
fyuqqqq ㄈㄩˋ
fyuqqqqq ㄈㄩ˙
fyue ㄈㄩㄝ
fyueq ㄈㄩㄝˉ
fyueqq ㄈㄩㄝˊ
fyueqqq ㄈㄩㄝˇ
fyueqqqq ㄈㄩㄝˋ
fyueqqqqq ㄈㄩㄝ˙
fyun ㄈㄩㄣ
fyunq ㄈㄩㄣˉ
fyunqq ㄈㄩㄣˊ
fyunqqq ㄈㄩㄣˇ
fyunqqqq ㄈㄩㄣˋ
fyunqqqqq ㄈㄩㄣ˙
fyung ㄈㄩㄥ
fyungq ㄈㄩㄥˉ
fyungqq ㄈㄩㄥˊ
fyungqqq ㄈㄩㄥˇ
fyungqqqq ㄈㄩㄥˋ
fyungqqqqq ㄈㄩㄥ˙
ga ㄍㄚ
gaq ㄍㄚˉ
gaqq ㄍㄚˊ
gaqqq ㄍㄚˇ
gaqqqq ㄍㄚˋ
gaqqqqq ㄍㄚ˙
gai ㄍㄞ
gaiq ㄍㄞˉ
gaiqq ㄍㄞˊ
gaiqqq ㄍㄞˇ
gaiqqqq ㄍㄞˋ
gaiqqqqq ㄍㄞ˙
gan ㄍㄢ
ganq ㄍㄢˉ
ganqq ㄍㄢˊ
ganqqq ㄍㄢˇ
ganqqqq ㄍㄢˋ
ganqqqqq ㄍㄢ˙
gang ㄍㄤ
gangq ㄍㄤˉ
gangqq ㄍㄤˊ
gangqqq ㄍㄤˇ
gangqqqq ㄍㄤˋ
gangqqqqq ㄍㄤ˙
gao ㄍㄠ
gaoq ㄍㄠˉ
gaoqq ㄍㄠˊ
gaoqqq ㄍㄠˇ
gaoqqqq ㄍㄠˋ
gaoqqqqq ㄍㄠ˙
ge ㄍㄜ
geq ㄍㄜˉ
geqq ㄍㄜˊ
geqqq ㄍㄜˇ
geqqqq ㄍㄜˋ
geqqqqq ㄍㄜ˙
gei ㄍㄟ
geiq ㄍㄟˉ
geiqq ㄍㄟˊ
geiqqq ㄍㄟˇ
geiqqqq ㄍㄟˋ
geiqqqqq ㄍㄟ˙
gen ㄍㄣ
genq ㄍㄣˉ
genqq ㄍㄣˊ
genqqq ㄍㄣˇ
genqqqq ㄍㄣˋ
genqqqqq ㄍㄣ˙
geng ㄍㄥ
gengq ㄍㄥˉ
gengqq ㄍㄥˊ
gengqqq ㄍㄥˇ
gengqqqq ㄍㄥˋ
gengqqqqq ㄍㄥ˙
ger ㄍㄦ
gerq ㄍㄦˉ
gerqq ㄍㄦˊ
gerqqq ㄍㄦˇ
gerqqqq ㄍㄦˋ
gerqqqqq ㄍㄦ˙
gi ㄍㄧ
giq ㄍㄧˉ
giqq ㄍㄧˊ
giqqq ㄍㄧˇ
giqqqq ㄍㄧˋ
giqqqqq ㄍㄧ˙
gia ㄍㄧㄚ
giaq ㄍㄧㄚˉ
giaqq ㄍㄧㄚˊ
giaqqq ㄍㄧㄚˇ
giaqqqq ㄍㄧㄚˋ
giaqqqqq ㄍㄧㄚ˙
gian ㄍㄧㄢ
gianq ㄍㄧㄢˉ
gianqq ㄍㄧㄢˊ
gianqqq ㄍㄧㄢˇ
gianqqqq ㄍㄧㄢˋ
gianqqqqq ㄍㄧㄢ˙
giang ㄍㄧㄤ
giangq ㄍㄧㄤˉ
giangqq ㄍㄧㄤˊ
giangqqq ㄍㄧㄤˇ
giangqqqq ㄍㄧㄤˋ
giangqqqqq ㄍㄧㄤ˙
giao ㄍㄧㄠ
giaoq ㄍㄧㄠˉ
giaoqq ㄍㄧㄠˊ
giaoqqq ㄍㄧㄠˇ
giaoqqqq ㄍㄧㄠˋ
giaoqqqqq ㄍㄧㄠ˙
gie ㄍㄧㄝ
gieq ㄍㄧㄝˉ
gieqq ㄍㄧㄝˊ
gieqqq ㄍㄧㄝˇ
gieqqqq ㄍㄧㄝˋ
gieqqqqq ㄍㄧㄝ˙
gin ㄍㄧㄣ
ginq ㄍㄧㄣˉ
ginqq ㄍㄧㄣˊ
ginqqq ㄍㄧㄣˇ
ginqqqq ㄍㄧㄣˋ
ginqqqqq ㄍㄧㄣ˙
ging ㄍㄧㄥ
gingq ㄍㄧㄥˉ
gingqq ㄍㄧㄥˊ
gingqqq ㄍㄧㄥˇ
gingqqqq ㄍㄧㄥˋ
gingqqqqq ㄍㄧㄥ˙
giong ㄍㄩㄥ
giongq ㄍㄩㄥˉ
giongqq ㄍㄩㄥˊ
giongqqq ㄍㄩㄥˇ
giongqqqq ㄍㄩㄥˋ
giongqqqqq ㄍㄩㄥ˙
giou ㄍㄧㄡ
giouq ㄍㄧㄡˉ
giouqq ㄍㄧㄡˊ
giouqqq ㄍㄧㄡˇ
giouqqqq ㄍㄧㄡˋ
giouqqqqq ㄍㄧㄡ˙
giu ㄍㄧㄡ
giuq ㄍㄧㄡˉ
giuqq ㄍㄧㄡˊ
giuqqq ㄍㄧㄡˇ
giuqqqq ㄍㄧㄡˋ
giuqqqqq ㄍㄧㄡ˙
giung ㄍㄩㄥ
giungq ㄍㄩㄥˉ
giungqq ㄍㄩㄥˊ
giungqqq ㄍㄩㄥˇ
giungqqqq ㄍㄩㄥˋ
giungqqqqq ㄍㄩㄥ˙
go ㄍㄛ
goq ㄍㄛˉ
goqq ㄍㄛˊ
goqqq ㄍㄛˇ
goqqqq ㄍㄛˋ
goqqqqq ㄍㄛ˙
gong ㄍㄨㄥ
gongq ㄍㄨㄥˉ
gongqq ㄍㄨㄥˊ
gongqqq ㄍㄨㄥˇ
gongqqqq ㄍㄨㄥˋ
gongqqqqq ㄍㄨㄥ˙
gou ㄍㄡ
gouq ㄍㄡˉ
gouqq ㄍㄡˊ
gouqqq ㄍㄡˇ
gouqqqq ㄍㄡˋ
gouqqqqq ㄍㄡ˙
gu ㄍㄨ
guq ㄍㄨˉ
guqq ㄍㄨˊ
guqqq ㄍㄨˇ
guqqqq ㄍㄨˋ
guqqqqq ㄍㄨ˙
gua ㄍㄨㄚ
guaq ㄍㄨㄚˉ
guaqq ㄍㄨㄚˊ
guaqqq ㄍㄨㄚˇ
guaqqqq ㄍㄨㄚˋ
guaqqqqq ㄍㄨㄚ˙
guai ㄍㄨㄞ
guaiq ㄍㄨㄞˉ
guaiqq ㄍㄨㄞˊ
guaiqqq ㄍㄨㄞˇ
guaiqqqq ㄍㄨㄞˋ
guaiqqqqq ㄍㄨㄞ˙
guan ㄍㄨㄢ
guanq ㄍㄨㄢˉ
guanqq ㄍㄨㄢˊ
guanqqq ㄍㄨㄢˇ
guanqqqq ㄍㄨㄢˋ
guanqqqqq ㄍㄨㄢ˙
guang ㄍㄨㄤ
guangq ㄍㄨㄤˉ
guangqq ㄍㄨㄤˊ
guangqqq ㄍㄨㄤˇ
guangqqqq ㄍㄨㄤˋ
guangqqqqq ㄍㄨㄤ˙
gui ㄍㄨㄟ
guiq ㄍㄨㄟˉ
guiqq ㄍㄨㄟˊ
guiqqq ㄍㄨㄟˇ
guiqqqq ㄍㄨㄟˋ
guiqqqqq ㄍㄨㄟ˙
gun ㄍㄨㄣ
gunq ㄍㄨㄣˉ
gunqq ㄍㄨㄣˊ
gunqqq ㄍㄨㄣˇ
gunqqqq ㄍㄨㄣˋ
gunqqqqq ㄍㄨㄣ˙
gung ㄍㄨㄥ
gungq ㄍㄨㄥˉ
gungqq ㄍㄨㄥˊ
gungqqq ㄍㄨㄥˇ
gungqqqq ㄍㄨㄥˋ
gungqqqqq ㄍㄨㄥ˙
guo ㄍㄨㄛ
guoq ㄍㄨㄛˉ
guoqq ㄍㄨㄛˊ
guoqqq ㄍㄨㄛˇ
guoqqqq ㄍㄨㄛˋ
guoqqqqq ㄍㄨㄛ˙
gv ㄍㄩ
gvq ㄍㄩˉ
gvqq ㄍㄩˊ
gvqqq ㄍㄩˇ
gvqqqq ㄍㄩˋ
gvqqqqq ㄍㄩ˙
gve ㄍㄩㄝ
gveq ㄍㄩㄝˉ
gveqq ㄍㄩㄝˊ
gveqqq ㄍㄩㄝˇ
gveqqqq ㄍㄩㄝˋ
gveqqqqq ㄍㄩㄝ˙
gvn ㄍㄩㄣ
gvnq ㄍㄩㄣˉ
gvnqq ㄍㄩㄣˊ
gvnqqq ㄍㄩㄣˇ
gvnqqqq ㄍㄩㄣˋ
gvnqqqqq ㄍㄩㄣ˙
gvng ㄍㄩㄥ
gvngq ㄍㄩㄥˉ
gvngqq ㄍㄩㄥˊ
gvngqqq ㄍㄩㄥˇ
gvngqqqq ㄍㄩㄥˋ
gvngqqqqq ㄍㄩㄥ˙
gyu ㄍㄩ
gyuq ㄍㄩˉ
gyuqq ㄍㄩˊ
gyuqqq ㄍㄩˇ
gyuqqqq ㄍㄩˋ
gyuqqqqq ㄍㄩ˙
gyue ㄍㄩㄝ
gyueq ㄍㄩㄝˉ
gyueqq ㄍㄩㄝˊ
gyueqqq ㄍㄩㄝˇ
gyueqqqq ㄍㄩㄝˋ
gyueqqqqq ㄍㄩㄝ˙
gyun ㄍㄩㄣ
gyunq ㄍㄩㄣˉ
gyunqq ㄍㄩㄣˊ
gyunqqq ㄍㄩㄣˇ
gyunqqqq ㄍㄩㄣˋ
gyunqqqqq ㄍㄩㄣ˙
gyung ㄍㄩㄥ
gyungq ㄍㄩㄥˉ
gyungqq ㄍㄩㄥˊ
gyungqqq ㄍㄩㄥˇ
gyungqqqq ㄍㄩㄥˋ
gyungqqqqq ㄍㄩㄥ˙
ha ㄏㄚ
haq ㄏㄚˉ
haqq ㄏㄚˊ
haqqq ㄏㄚˇ
haqqqq ㄏㄚˋ
haqqqqq ㄏㄚ˙
hai ㄏㄞ
haiq ㄏㄞˉ
haiqq ㄏㄞˊ
haiqqq ㄏㄞˇ
haiqqqq ㄏㄞˋ
haiqqqqq ㄏㄞ˙
han ㄏㄢ
hanq ㄏㄢˉ
hanqq ㄏㄢˊ
hanqqq ㄏㄢˇ
hanqqqq ㄏㄢˋ
hanqqqqq ㄏㄢ˙
hang ㄏㄤ
hangq ㄏㄤˉ
hangqq ㄏㄤˊ
hangqqq ㄏㄤˇ
hangqqqq ㄏㄤˋ
hangqqqqq ㄏㄤ˙
hao ㄏㄠ
haoq ㄏㄠˉ
haoqq ㄏㄠˊ
haoqqq ㄏㄠˇ
haoqqqq ㄏㄠˋ
haoqqqqq ㄏㄠ˙
he ㄏㄜ
heq ㄏㄜˉ
heqq ㄏㄜˊ
heqqq ㄏㄜˇ
heqqqq ㄏㄜˋ
heqqqqq ㄏㄜ˙
hei ㄏㄟ
heiq ㄏㄟˉ
heiqq ㄏㄟˊ
heiqqq ㄏㄟˇ
heiqqqq ㄏㄟˋ
heiqqqqq ㄏㄟ˙
hen ㄏㄣ
henq ㄏㄣˉ
henqq ㄏㄣˊ
henqqq ㄏㄣˇ
henqqqq ㄏㄣˋ
henqqqqq ㄏㄣ˙
heng ㄏㄥ
hengq ㄏㄥˉ
hengqq ㄏㄥˊ
hengqqq ㄏㄥˇ
hengqqqq ㄏㄥˋ
hengqqqqq ㄏㄥ˙
her ㄏㄦ
herq ㄏㄦˉ
herqq ㄏㄦˊ
herqqq ㄏㄦˇ
herqqqq ㄏㄦˋ
herqqqqq ㄏㄦ˙
hi ㄏㄧ
hiq ㄏㄧˉ
hiqq ㄏㄧˊ
hiqqq ㄏㄧˇ
hiqqqq ㄏㄧˋ
hiqqqqq ㄏㄧ˙
hia ㄏㄧㄚ
hiaq ㄏㄧㄚˉ
hiaqq ㄏㄧㄚˊ
hiaqqq ㄏㄧㄚˇ
hiaqqqq ㄏㄧㄚˋ
